ID,Razón Social,NIT,Sector,Vacantes Encontradas,Última Vacante,Email Encontrado,Teléfono Encontrado,Estado
"92","COMPANIA DE MEDICINA PREPAGADA COLSANITAS S.A","","Privado",0,"","","","Sin vacantes"
"93","Credicorp Capital Colombia S.A.","","Privado",0,"","","","Sin vacantes"
"94","ASIC S.A.","","Privado",0,"","","","Sin vacantes"
"95","Red Colombiana de Servicios S.A.","","Privado",0,"","","","Sin vacantes"
"96","Ekko Promotora SA","","Privado",0,"","","","Sin vacantes"
"97","EMPRESAS VARIAS DE MEDELLIN","","Privado",0,"","","","Sin vacantes"
"98","Organizacion Corona SA","","Privado",0,"","","","Sin vacantes"
"99","Autotecnica Colombiana SAS","","Privado",0,"","","","Sin vacantes"
"100","GAS NATURAL S.A.  E.S.P","","Privado",0,"","","","Sin vacantes"
"101","BANCO MUNDIAL DE LA MUJER - WWB COLOMBIA","","Privado",0,"","","","Sin vacantes"
"102","FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA","","Privado",0,"","","","Sin vacantes"
"103","COVINOC","","Privado",0,"","","","Sin vacantes"
"104","EMPRESA DE ENERGIA DEL PACIFICO S A EPSA E S P","","Privado",0,"","","","Sin vacantes"
"105","COOPERATIVA MEDICA DEL VALLE Y DE PROFESIONALES DE","","Privado",0,"","","","Sin vacantes"
"106","Synapsis Colombia SAS","","Privado",0,"","","","Sin vacantes"
"107","Banco Comercial Av Villas SA","","Privado",0,"","","","Sin vacantes"
"108","CIA DE MEDICINA PREPAGADA COLSANITAS S A","","Privado",0,"","","","Sin vacantes"
"109","Unidad De Servicios Penitenciarios Y Carcelarios S","","Privado",0,"","","","Sin vacantes"
"110","Mineria Texas Colombia SA","","Privado",0,"","","","Sin vacantes"
"111","Colorquimica S.A.","","Privado",0,"","","","Sin vacantes"
"112","Sociedad De Acueductos Y Alcantarillados Del Valle","","Privado",0,"","","","Sin vacantes"
"113","TCRP TELECOMUNICACIONES SAS","","Privado",0,"","","","Sin vacantes"
"114","Espumados S.A.","","Privado",0,"","","","Sin vacantes"
"115","Laboratorios Expofarma SA","","Privado",0,"","","","Sin vacantes"
"116","LABORATORIOS BUSIE","","Privado",0,"","","","Sin vacantes"
"117","EPM Inversiones S.A.","","Privado",0,"","","","Sin vacantes"
"118","Camara De Riesgo Central De Contraparte De Colombi","","Privado",0,"","","","Sin vacantes"
"119","ACH COLOMBIA S A","","Privado",0,"","","","Sin vacantes"
"120","Asociacion Bancaria y de Entidades Financieras de","","Privado",0,"","","","Sin vacantes"
"121","Allianz Seguros De Vida S.A.","","Privado",0,"","","","Sin vacantes"
"122","Praco Didacol SA","","Privado",0,"","","","Sin vacantes"
"123","TECNOQUIMICAS S A","","Privado",0,"","","","Sin vacantes"
"124","Cooperativa Multiactiva De Detallistas De Colombia","","Privado",0,"","","","Sin vacantes"
"125","Empresas Municipales De Cali E I C E E S P","","Privado",0,"","","","Sin vacantes"
"126","Excelsis SaCig","","Privado",0,"","","","Sin vacantes"
"127","Direccion de transito y transporte - Ditra","","Privado",0,"","","","Sin vacantes"
"128","Grupo ASD SAS","","Privado",0,"","","","Sin vacantes"
"129","MEFIA SAS","","Privado",0,"","","","Sin vacantes"
"130","Marval","","Privado",0,"","","","Sin vacantes"
"131","Grupo Empresarial en Linea S.A.","","Privado",0,"","","","Sin vacantes"
"132","Fundacion Universidad DE Bogota Jorge Tadeo Lozano","","Privado",0,"","","","Sin vacantes"
"133","Cooperativa Financiera Cotrafa","","Privado",0,"","","","Sin vacantes"
"134","Fortox S.A.","","Privado",0,"","","","Sin vacantes"
"135","Centro de Servicios Crediticios S.A","","Privado",0,"","","","Sin vacantes"
"136","Datecsa SA","","Privado",0,"","","","Sin vacantes"
"137","EXPEDITORS DE COLOMBIA LTDA.","","Privado",0,"","","","Sin vacantes"
"138","Marval S.A.","","Privado",0,"","","","Sin vacantes"
"139","ELECTRIFICADORA DEL CARIBE S.A.-E.S.P.","","Privado",0,"","","","Sin vacantes"
"140","Contingencia","","Privado",0,"","","","Sin vacantes"
"141","Code S.A.","","Privado",0,"","","","Sin vacantes"
"142","CENTRO INTERNACIONAL DE AGRICULTURA TROPIAL-CIAT-","","Privado",0,"","","","Sin vacantes"
"143","Compañía De Servicios E Inversiones Alpes S.A.S","","Privado",0,"","","","Sin vacantes"
"144","SI S.A.","","Privado",0,"","","","Sin vacantes"
"145","SODIMAC COLOMBIA S A","","Privado",0,"","","","Sin vacantes"
"146","Caja De Compensacion Familiar Del Huila","","Privado",0,"","","","Sin vacantes"
"147","Industrias Ceno S A","","Privado",0,"","","","Sin vacantes"
"148","Cobiscorp Colombia SA","","Privado",0,"","","","Sin vacantes"
"149","Electrificadora Del Huila S.A. E.S.P.","","Privado",0,"","","","Sin vacantes"
"150","Gonvarri Ms Colombia S A S","","Privado",0,"","","","Sin vacantes"
"151","Triada Ltda.","","Privado",0,"","","","Sin vacantes"
"152","GASES DEL CARIBE S A EMP DE SERV PUB","","Privado",0,"","","","Sin vacantes"
"153","PROQUINAL S A","","Privado",0,"","","","Sin vacantes"
"154","Administradora Fondos DE Pensiones Y Cesantia Prot","","Privado",0,"","","","Sin vacantes"
"155","Infomedia Service SA","","Privado",1,"Agente mesa de servicio/Experiencia en Redes","","","CON VACANTES TI"
"156","COLTICKETS S.A.","","Privado",0,"","","","Sin vacantes"
"157","Servientrega SA","","Privado",0,"","","","Sin vacantes"
"158","Compania Nacional de Levaduras-Levapan SA","","Privado",0,"","","","Sin vacantes"
"159","Manufacturas Eliot S.A.S","","Privado",0,"","","","Sin vacantes"
"160","INVERFAS S A","","Privado",0,"","","","Sin vacantes"
"161","Bcsc SA","","Privado",0,"","","","Sin vacantes"
"162","CENTRALES ELECTRICAS DE NARINO S A E S P","","Privado",0,"","","","Sin vacantes"
"163","HOSPITAL MILITAR CENTRAL","","Privado",0,"","","","Sin vacantes"
"164","US Southern Command","","Privado",0,"","","","Sin vacantes"
"165","INSTITUTO NACIONAL DE VIAS","","Privado",0,"","","","Sin vacantes"
"166","INTEGRAL S A","","Privado",0,"","","","Sin vacantes"
"167","ASESORIA EN SISTEMATIZACION DE DATOS S.A.- ASD","","Privado",0,"","","","Sin vacantes"
"168","Corporacion Universitaria De La Costa  -  Cuc","","Privado",0,"","","","Sin vacantes"
"169","SERVICIO GEOLOGICO COLOMBIANO","","Privado",0,"","","","Sin vacantes"
"170","PETROBRAS COLOMBIA LIMITED","","Privado",0,"","","","Sin vacantes"
"171","IMOCOM S.A.","","Privado",0,"","","","Sin vacantes"
"172","Hocol s a","","Privado",0,"","","","Sin vacantes"
"173","XM Compania de Expertos en Mercados SA ESP","","Privado",0,"","","","Sin vacantes"
"174","Global Solutions Group S.A.S.","","Privado",0,"","","","Sin vacantes"
"175","Productos Quimicos Panamericanos","","Privado",0,"","","","Sin vacantes"
"176","Top Drilling Company Sucursal Colombia","","Privado",0,"","","","Sin vacantes"
"177","Emerald Energy","","Privado",0,"","","","Sin vacantes"
"178","Multienlace SAS","","Privado",0,"","","","Sin vacantes"
"179","COLTEFINANCIERA S.A.","","Privado",0,"","","","Sin vacantes"
"180","UNIVERSIDAD ECCI","","Privado",0,"","","","Sin vacantes"
"181","EMPRESA DE ENERGIA DE BOGOTA S.A. ESP","","Privado",0,"","","","Sin vacantes"
"182","Tickets Fast S.A.S","","Privado",0,"","","","Sin vacantes"
"183","Corona Industrial S.A.S.","","Privado",0,"","","","Sin vacantes"
"184","Fussion Corporation Colombia SAS","","Privado",0,"","","","Sin vacantes"
"185","CIFIN SA","","Privado",0,"","","","Sin vacantes"
"186","Instituto Geografico Agustin Codazzi","","Privado",0,"","","","Sin vacantes"
"187","Grow Data SAS","","Privado",0,"","","","Sin vacantes"
"188","Masivo Capital SAS","","Privado",0,"","","","Sin vacantes"
"189","Seguros De Riesgos Profesionales Suramericana SA","","Privado",0,"","","","Sin vacantes"
"190","Universidad del SINU","","Privado",0,"","","","Sin vacantes"
"191","Itelca SAS","","Privado",1,"Lider procesos infraestructura","","","CON VACANTES TI"
"192","Fondo Financiero De Proyectos De Desarrollo Fonade","","Privado",0,"","","","Sin vacantes"
"193","Emerald Energy PLC","","Privado",0,"","","","Sin vacantes"
"194","UNIVERSIDAD AGRARIA DE COLOMBIA","","Privado",0,"","","","Sin vacantes"
"195","BANCO DE COMERCIO EXTERIOR DE COLOMBIA BANCOLDEX","","Privado",0,"","","","Sin vacantes"
"196","Akita Motos SA","","Privado",0,"","","","Sin vacantes"
"197","COMFAMILIAR RISARALDA","","Privado",0,"","","","Sin vacantes"
"198","Caja De Retiro De Las Fuerzas Militares","","Privado",0,"","","","Sin vacantes"
"199","Caja de Compensación Familiar de Cundinamarca COM","","Privado",0,"","","","Sin vacantes"
"200","CREDICORP CAPITAL COLOMBIA S A SIGLA CREDICORP CAP","","Privado",0,"","","","Sin vacantes"
"201","Enorey International, S. A. (Quanam)","","Privado",0,"","","","Sin vacantes"
"202","Bull Uruguay S.A.","","Privado",0,"","","","Sin vacantes"
"203","Banco Del Pacifico SA","","Privado",0,"","","","Sin vacantes"
"204","Industrias Metalex S.A.S","","Privado",0,"","","","Sin vacantes"
"205","ZONA FRANCA DE BOGOTA","","Privado",0,"","","","Sin vacantes"
"206","EMPR. DE TRANSP DEL TERCER MILENIO TRANSMILENIO SA","","Privado",0,"","","","Sin vacantes"
"207","QBE Seguros SA","","Privado",0,"","","","Sin vacantes"
"208","COLEGIO MAYOR DE NUESTRA SENORA DEL ROSARIO","","Privado",0,"","","","Sin vacantes"
"209","Makro Supermayorista S.A.S.","","Privado",0,"","","","Sin vacantes"
"210","Verano Ingenieria Ltda","","Privado",0,"","","","Sin vacantes"
"211","Interactivo Contact Center SA","","Privado",0,"","","","Sin vacantes"
"212","CASA EDITORIAL EL TIEMPO S A","","Privado",0,"","","","Sin vacantes"
"213","INDUSTRIAS ESTRA S.A.","","Privado",0,"","","","Sin vacantes"
"214","Landers & Cia. S.a.","","Privado",0,"","","","Sin vacantes"
"215","Encajes SA Colombia","","Privado",0,"","","","Sin vacantes"
"216","Representaciones y Servicios Globales S.A.","","Privado",0,"","","","Sin vacantes"
"217","Blu Logistics Colombia S.A.S","","Privado",0,"","","","Sin vacantes"
"218","CI Grodco SCA","","Privado",0,"","","","Sin vacantes"
"219","Circulante S.A","","Privado",0,"","","","Sin vacantes"
"220","CORPORACION AUTOMONA REGIONAL DEL VALLE DEL CAUCA","","Privado",0,"","","","Sin vacantes"
"221","UNIVERSIDAD EL BOSQUE","","Privado",0,"","","","Sin vacantes"
"222","UNIVERSIDAD CATOLICA DE COLOMBIA","","Privado",0,"","","","Sin vacantes"
"223","Fundacion Universitaria Panamericana","","Privado",0,"","","","Sin vacantes"
"224","Interbolsa SA","","Privado",0,"","","","Sin vacantes"
"225","Gemalto Colombia SA","","Privado",0,"","","","Sin vacantes"
"226","Compania Internacional De Alimentos SAS","","Privado",0,"","","","Sin vacantes"
"227","FANALCA S.A - Proyecto BI, DB para OWB","","Privado",0,"","","","Sin vacantes"
"228","MIGRACION COLOMBIA","","Privado",0,"","","","Sin vacantes"
"229","PRODUCTOS RAMO S.A.","","Privado",0,"","","","Sin vacantes"
"230","FONDO DE PREVENCION Y ATENCION DE EMERGENCIAS DEA","","Privado",0,"","","","Sin vacantes"
"231","Citibank Colombia S.A.","","Privado",0,"","","","Sin vacantes"
"232","CRM Direct Plus","","Privado",0,"","","","Sin vacantes"
"233","Masering S.A.S.","","Privado",0,"","","","Sin vacantes"
"234","Empresa De Telecomunicaciones De Pereira S.A.","","Privado",1,"Solo soporte técnico ¡Participa ya!","","","CON VACANTES TI"
"235","Tu Carrera SA","","Privado",0,"","","","Sin vacantes"
"236","Fundacion Universidad Autonoma De Colombia FUAC","","Privado",0,"","","","Sin vacantes"
"237","Sociedad Concesionaria Operadora Aeroportuaria Int","","Privado",0,"","","","Sin vacantes"
"238","PORVENIR S.A","","Privado",0,"","","","Sin vacantes"
"239","Diveo Datacenter SAS","","Privado",0,"","","","Sin vacantes"
"240","UNIVERSIDAD JORGE TADEO LOZANO","","Privado",0,"","","","Sin vacantes"
"241","BEL STAR S A","","Privado",0,"","","","Sin vacantes"
"242","Gecelca SA E.S.P","","Privado",0,"","","","Sin vacantes"
"243","GRANITOS Y MARMOLES S A","","Privado",0,"","","","Sin vacantes"
"244","Seguros de Vida Suramericana SA","","Privado",0,"","","","Sin vacantes"
"245","Productos Roche SA","","Privado",0,"","","","Sin vacantes"
"246","Fondo De Empleados Almacenes Exito Presente","","Privado",0,"","","","Sin vacantes"
"247","V.Q. Ingenieria LLtda","","Privado",0,"","","","Sin vacantes"
"248","CSC- Centro de servicios crediticios","","Privado",0,"","","","Sin vacantes"
"249","Industria de Licores del Valle del Cauca","","Privado",0,"","","","Sin vacantes"
"250","PRODUCTOS ALIMENTICIOS MARGARITA S.A.","","Privado",0,"","","","Sin vacantes"
"251","TERMOTASAJERO S A E S P","","Privado",0,"","","","Sin vacantes"
"252","INVIMA","","Privado",0,"","","","Sin vacantes"
"253","ACTIVOS S.A.","","Privado",0,"","","","Sin vacantes"
"254","ITC S.A. INGENIERIA  DE PLASTICOS INDUSTRIALES","","Privado",0,"","","","Sin vacantes"
"255","Fundacion Universitaria Luis Amigo","","Privado",0,"","","","Sin vacantes"
"256","Reditos Empresariales SA","","Privado",0,"","","","Sin vacantes"
"257","Instituto Colombiano De Bienestar Familiar","","Privado",0,"","","","Sin vacantes"
"258","Scotiabank Colombia S.A.","","Privado",0,"","","","Sin vacantes"
"259","Universidad ICESI","","Privado",0,"","","","Sin vacantes"
"260","ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S","","Privado",0,"","","","Sin vacantes"
"261","Synapsis Colombia S.A.S","","Privado",0,"","","","Sin vacantes"
"262","UNIVERSIDAD PILOTO DE COLOMBIA","","Privado",0,"","","","Sin vacantes"
"263","FUNDACION SOCIAL","","Privado",0,"","","","Sin vacantes"
"264","EPS Y Medicina Prepagada Suramericana SA","","Privado",0,"","","","Sin vacantes"
"265","SERVIBANCA S.A.","","Privado",0,"","","","Sin vacantes"
"266","EMPRESA DE OBRAS SANITARIAS DE LA PROVINCIA DE OBA","","Privado",0,"","","","Sin vacantes"
"267","Levapan S.A. Cia Nacional de Levadu","","Privado",0,"","","","Sin vacantes"
"268","Grandes Superficies de Colombia SA","","Privado",0,"","","","Sin vacantes"
"269","Muelles el Bosque Operadores Portuarios SA","","Privado",0,"","","","Sin vacantes"
"270","PNUD Colombia","","Privado",0,"","","","Sin vacantes"
"271","APORTES EN LINEA SA","","Privado",0,"","","","Sin vacantes"
"272","ABBVIE S.A.S.","","Privado",0,"","","","Sin vacantes"
"273","Almacenes Corona S.A.S","","Privado",0,"","","","Sin vacantes"
"274","FONDO DE VIGIL Y SEG.DE SANTA FE DE BOGOTA D.C.","","Privado",0,"","","","Sin vacantes"
"275","Liceo Frances Louis Pasteur","","Privado",0,"","","","Sin vacantes"
"276","Aviatur","","Privado",0,"","","","Sin vacantes"
"277","Enka de Colombia S.A","","Privado",0,"","","","Sin vacantes"
"278","Old Mutual Pensiones y Cesantias S.A.","","Privado",0,"","","","Sin vacantes"
"279","Acciones y Valores","","Privado",0,"","","","Sin vacantes"
"280","Pacific Stratus Energy Colombia Corp.","","Privado",0,"","","","Sin vacantes"
"281","Compania de Puertos Asociados SA","","Privado",0,"","","","Sin vacantes"
"282","UNIVERSIDAD AUTONOMA DE BUCARAMANGA","","Privado",0,"","","","Sin vacantes"
"283","Garrido Asociados Ltda","","Privado",0,"","","","Sin vacantes"
"284","Quantum Data Processing De Colombia S A S","","Privado",0,"","","","Sin vacantes"
"285","Financiera juriscoop s.a. Compania de financiamien","","Privado",0,"","","","Sin vacantes"
"286","Aguazul Bogota S.A. ESP","","Privado",0,"","","","Sin vacantes"
"287","HERNANDO CAMARGO PEDRAZA SAS","","Privado",0,"","","","Sin vacantes"
"288","COMPANIA COLOMBIANA AUTOMOTRIZ S A C C A EN LIQUID","","Privado",0,"","","","Sin vacantes"
"289","Instituto de Planificacion y Promocion de Solucion","","Privado",0,"","","","Sin vacantes"
"290","Credivalores Crediservicios SAS","","Privado",0,"","","","Sin vacantes"
"291","Instituto Colombiano Agropecuario","","Privado",0,"","","","Sin vacantes"
"292","Universidad Del Rosario","","Privado",0,"","","","Sin vacantes"
"293","Efigas S.A. E.S.P.","","Privado",0,"","","","Sin vacantes"
"294","Federacion De Aseguradores Colombianos Fasecolda","","Privado",0,"","","","Sin vacantes"
"295","Instituto Colombiano para la Evaluacion de la Educ","","Privado",0,"","","","Sin vacantes"
"296","QUIPUX S.A.S.","","Privado",0,"","","","Sin vacantes"
"297","CRM Direct Plus SAS","","Privado",0,"","","","Sin vacantes"
"298","Thomas Greg & Sons Limited (Guernsey) S.A.","","Privado",0,"","","","Sin vacantes"
"299","Interoil Colombia Exploration and Production","","Privado",0,"","","","Sin vacantes"
"300","Colfondos","","Privado",0,"","","","Sin vacantes"
"301","EMPRESA DE GASES DE OCCIDENTE S A EMPRESA DE SERVI","","Privado",0,"","","","Sin vacantes"
"302","Banco Falabella S.A","","Privado",0,"","","","Sin vacantes"
"303","FINSOCIAL COL S.A.S","","Privado",0,"","","","Sin vacantes"
"304","EMPRESA DE ENERGIA DE BOYACA S.A. ESP","","Privado",0,"","","","Sin vacantes"
"305","PROGR NACIO UNID PARA DESAR PROY PNUD/COL","","Privado",0,"","","","Sin vacantes"
"306","TITAN INTERCONTINENTAL S.A.","","Privado",0,"","","","Sin vacantes"
"307","CORREDORES ASOCIADOS S A COMISIONISTA DE BOLSA","","Privado",0,"","","","Sin vacantes"
"308","INSTITUTO COLOMBIANO DE CRÉDITO EDUCATIVO Y ESTUD","","Privado",0,"","","","Sin vacantes"
"309","Gases de Occidente S.A. E.S.P.","","Privado",0,"","","","Sin vacantes"
"310","Union Temporal Fase II","","Privado",0,"","","","Sin vacantes"
"311","AGFA HEALTCARE COLOMBIA LTDA","","Privado",0,"","","","Sin vacantes"
"312","Federacion Nacional De Comerciantes Fenalco","","Privado",0,"","","","Sin vacantes"
"313","FUNDACION UNIVERSITARIA KONRAD LORENZ","","Privado",0,"","","","Sin vacantes"
"314","Contact Center Americas S.A.","","Privado",0,"","","","Sin vacantes"
"315","Corporacion Autonoma Regional De Cundinamarca Car","","Privado",0,"","","","Sin vacantes"
"316","Alcaldía Mayor de Bogotá","","Privado",0,"","","","Sin vacantes"
"317","EMPRESA SOCIAL DEL ESTADO - METROSALUD","","Privado",0,"","","","Sin vacantes"
"318","Centro De Radio Y Television Cratel C.A.","","Privado",0,"","","","Sin vacantes"
"319","ECI Telecom SurAmerica LTDA","","Privado",0,"","","","Sin vacantes"
"320","BIOENERGY S.A.","","Privado",0,"","","","Sin vacantes"
"321","UNE EPMBOGOTA S.A.","","Privado",0,"","","","Sin vacantes"
"322","BRINKS DE COLOMBIA S.A.","","Privado",0,"","","","Sin vacantes"
"323","Cam Colombia Multiservicios SAS","","Privado",0,"","","","Sin vacantes"
"324","Toyota de Colombia S.A.","","Privado",0,"","","","Sin vacantes"
"325","Productive business solutions (aruba) n.v.","","Privado",0,"","","","Sin vacantes"
"326","DEPARTAMENTO DE ANTIOQUIA","","Privado",0,"","","","Sin vacantes"
"327","Instituto Colombiano de Normas Tecnicas","","Privado",0,"","","","Sin vacantes"
"328","everis Colombia Ltda.","","Privado",0,"","","","Sin vacantes"
"329","EQUIELECT S.A.S","","Privado",0,"","","","Sin vacantes"
"330","CITIBANK COLOMBIA","","Privado",0,"","","","Sin vacantes"
"331","PARMALAT COLOMBIA LTDA","","Privado",0,"","","","Sin vacantes"
"332","ACCION S.A.","","Privado",0,"","","","Sin vacantes"
"333","Camara De Comercio De Barranquilla","","Privado",0,"","","","Sin vacantes"
"334","Lazus Colombia S.A.S.","","Privado",0,"","","","Sin vacantes"
"335","DALASE S.A.","","Privado",0,"","","","Sin vacantes"
"336","SMURFIT CARTON DE COLOMBIA S.A.","","Privado",0,"","","","Sin vacantes"
"337","MANUELITA S A","","Privado",0,"","","","Sin vacantes"
"338","San Antonio Internacional","","Privado",0,"","","","Sin vacantes"
